# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19972
1	0	20130
2	0	20827
3	0	21564
4	0	22317
5	0	23161
6	0	23954
7	0	24807
8	0	25738
9	0	26668
10	0	27604
11	0	28545
12	0	29453
13	0	30349
14	0	31221
15	0	32000
16	0	32547
17	0	33008
18	0	33243
19	0	33277
20	0	33032
21	0	32645
22	0	32111
23	0	31437
24	0	30824
25	0	30009
26	0	29185
27	0	28410
28	0	27598
29	0	26828
30	0	26243
31	0	25687
32	0	25198
33	0	24784
34	0	24425
35	0	24055
36	0	23781
37	0	23663
38	0	23431
39	0	23230
40	0	23045
41	0	22830
42	0	22594
43	0	22399
44	0	22276
45	0	22100
46	0	21897
47	0	21669
48	0	21541
49	0	21385
50	0	21191
51	0	21076
52	0	20895
53	0	20745
54	0	20638
55	0	20521
56	0	20427
57	0	20222
58	0	20049
59	0	19918
60	0	19818
61	0	19731
62	0	19620
63	0	19456
64	0	19328
65	0	19245
66	0	19178
67	0	19055
68	0	18923
69	0	18833
70	0	18734
71	0	18641
72	19	18522
73	25	18467
74	25	18413
75	32	18313
76	27	18256
77	23	18149
78	28	18000
79	29	17918
80	32	17809
81	30	17746
82	30	17715
83	26	17670
84	26	17618
85	27	17484
86	27	17397
87	25	17382
88	30	17298
89	22	17267
90	24	17219
91	21	17196
92	23	17101
93	24	17043
94	27	17033
95	29	16933
96	23	16849
97	18	16771
98	20	16732
99	21	16754
100	20	16714
101	23	16677
102	25	16632
103	28	16539
104	32	16493
105	31	16419
106	32	16393
107	29	16341
108	31	16321
109	28	16318
110	32	16302
111	29	16277
112	31	16222
113	33	16243
114	33	16185
115	26	16112
116	30	15998
117	28	15953
118	28	15866
119	28	15851
120	26	15757
121	27	15702
122	30	15721
123	34	15671
124	32	15555
125	31	15612
126	26	15633
127	24	15625
128	25	15566
129	24	15571
130	24	15524
131	24	15428
132	25	15366
133	20	15350
134	14	15341
135	12	15382
136	11	15369
137	9	15400
138	14	15339
139	13	15302
140	10	15318
141	10	15285
142	8	15216
143	5	15119
144	3	15098
145	2	15053
146	3	15003
147	2	14988
148	2	14990
149	3	14968
150	2	14968
151	2	14974
