# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19972
1	0	20155
2	0	21536
3	0	23069
4	0	24813
5	0	26578
6	0	28454
7	0	30376
8	0	32487
9	0	34642
10	0	36834
11	0	39007
12	0	41193
13	0	43579
14	0	45749
15	0	47896
16	0	49743
17	0	51501
18	0	52969
19	0	54199
20	0	55123
21	0	55776
22	0	56136
23	0	56357
24	0	56469
25	0	56493
26	0	56398
27	0	56183
28	0	56020
29	0	55833
30	0	55576
31	0	55367
32	0	55146
33	0	55146
34	0	54992
35	0	54959
36	0	54835
37	0	54758
38	0	54711
39	0	54717
40	0	54561
41	0	54516
42	0	54473
43	0	54507
44	0	54448
45	0	54482
46	0	54482
47	0	54459
48	0	54363
49	0	54328
50	0	54235
51	0	54263
52	0	54326
53	0	54356
54	0	54266
55	0	54278
56	0	54290
57	0	54251
58	0	54270
59	0	54279
60	0	54104
61	0	54046
62	0	54151
63	0	54182
64	0	54134
65	0	54232
66	0	54252
67	0	54163
68	0	54027
69	0	54114
70	0	54063
71	0	54227
72	19	54242
73	25	54262
74	33	54171
75	50	54213
76	55	54277
77	72	54356
78	96	54347
79	130	54339
80	176	54333
81	226	54336
82	274	54309
83	362	54323
84	488	54267
85	584	54247
86	752	54204
87	943	54270
88	1143	54332
89	1364	54265
90	1637	54353
91	1891	54344
92	2194	54356
93	2516	54373
94	2817	54291
95	3217	54380
96	3576	54388
97	3963	54351
98	4410	54387
99	4765	54356
100	5026	54247
101	5320	54275
102	5536	54203
103	5862	54222
104	6235	54157
105	6420	54116
106	6748	54106
107	6982	54117
108	7103	54087
109	7227	54050
110	7365	54124
111	7364	54112
112	7509	54213
113	7502	54224
114	7578	54194
115	7581	54240
116	7626	54295
117	7594	54289
118	7519	54258
119	7433	54250
120	7299	54147
121	7171	54225
122	7073	54288
123	6823	54354
124	6720	54197
125	6548	54279
126	6349	54275
127	6151	54244
128	5924	54224
129	5801	54230
130	5684	54272
131	5452	54347
132	5283	54392
133	5033	54400
134	4900	54314
135	4621	54423
136	4452	54352
137	4257	54409
138	4053	54410
139	3757	54524
140	3561	54703
141	3374	54810
142	3124	54875
143	2954	54830
144	2774	54750
145	2527	54799
146	2249	54784
147	1976	54739
148	1741	54728
149	1531	54677
150	1345	54616
151	1171	54628
152	1021	54578
153	874	54520
154	743	54397
155	644	54240
156	535	54248
157	443	54201
158	352	54200
159	282	54219
160	225	54234
161	172	54171
162	136	54162
163	96	54120
164	73	54057
165	46	54194
166	29	54152
167	28	54082
168	18	54024
169	14	53950
170	9	53968
171	6	53963
172	5	53907
173	4	53975
174	3	53959
175	3	53954
176	2	53918
177	1	53881
178	2	53985
179	2	54040
180	2	54091
181	0	54135
182	0	54051
183	0	54049
184	0	54170
185	0	54164
186	0	54095
187	0	54170
188	0	54116
189	0	54215
190	0	54239
191	0	54336
192	0	54250
193	0	54334
194	0	54243
195	0	54251
196	0	54278
197	0	54267
198	0	54310
199	0	54423
200	0	54436
201	0	54429
202	0	54471
203	0	54391
204	0	54401
205	0	54391
206	0	54459
207	0	54515
208	0	54461
209	0	54425
210	0	54308
211	0	54266
212	0	54340
213	0	54313
214	0	54235
215	0	54161
216	0	54204
217	0	54230
218	0	54278
219	0	54295
220	0	54267
221	0	54279
222	0	54196
223	0	54152
224	0	54164
225	0	54140
226	0	54247
227	0	54262
228	0	54221
229	0	54357
230	0	54403
231	0	54498
232	0	54538
233	0	54535
234	0	54628
235	0	54716
236	0	54668
237	0	54655
238	0	54628
239	0	54598
240	0	54637
241	0	54706
242	0	54760
243	0	54785
244	0	54674
245	0	54704
246	0	54541
247	0	54574
248	0	54547
249	0	54575
250	0	54637
251	0	54679
252	0	54623
253	0	54674
254	0	54707
255	0	54714
256	0	54646
257	0	54704
258	0	54562
259	0	54546
260	0	54540
261	0	54505
262	0	54460
263	0	54478
264	0	54514
265	0	54562
266	0	54437
267	0	54516
268	0	54500
269	0	54587
270	0	54590
271	0	54573
272	0	54561
273	0	54584
274	0	54588
275	0	54580
276	0	54481
277	0	54386
278	0	54321
279	0	54298
280	0	54332
281	0	54229
282	0	54318
283	0	54261
284	0	54241
