# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	146633
1	0	161634
2	0	172300
3	0	184941
4	0	198677
5	0	213537
6	0	228879
7	0	244670
8	0	260979
9	0	278282
10	0	295893
11	0	313906
12	0	332094
13	0	349985
14	0	367538
15	0	384087
16	0	399371
17	0	413144
18	0	424818
19	0	434635
20	0	442003
21	0	447080
22	0	450100
23	0	451977
24	0	452015
25	0	451522
26	0	450235
27	0	448814
28	0	446949
29	0	445642
30	0	444177
31	0	443054
32	0	441583
33	0	440583
34	0	439730
35	0	438941
36	0	437972
37	0	437080
38	0	436365
39	0	436024
40	0	435395
