# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19972
1	0	20155
2	0	21536
3	0	23069
4	0	24813
5	0	26578
6	0	28454
7	0	30376
8	0	32487
9	0	34642
10	0	36834
11	0	39005
12	0	41190
13	0	43577
14	0	45735
15	0	47879
16	0	49730
17	0	51473
18	0	52947
19	0	54189
20	0	55115
21	0	55737
22	0	56088
23	0	56298
24	0	56383
25	0	56340
26	0	56201
27	0	56034
28	0	55835
29	0	55631
30	0	55399
31	0	55215
32	0	55087
33	0	55015
34	0	54852
35	0	54735
36	0	54686
37	0	54591
38	0	54524
39	0	54490
40	0	54433
41	0	54361
42	0	54371
43	0	54283
44	0	54237
45	0	54244
46	0	54158
47	0	54167
48	0	54081
49	0	54076
50	0	54167
51	0	54196
52	0	54141
53	0	54063
54	0	54144
55	0	54140
56	0	54199
57	0	54179
58	0	54190
59	0	54243
60	0	54302
61	0	54276
62	0	54201
63	0	54202
64	0	54255
65	0	54197
66	0	54098
67	0	54109
68	0	54087
69	0	54159
70	0	54137
71	0	54152
72	19	54089
73	25	54067
74	28	54086
75	42	54099
76	59	54155
77	67	54181
78	98	54108
79	122	54130
80	156	54077
81	197	54124
82	253	54233
83	326	54209
84	422	54232
85	550	54201
86	685	54306
87	864	54285
88	1069	54307
89	1293	54343
90	1629	54312
91	1915	54237
92	2313	54209
93	2686	54110
94	3070	54201
95	3429	54163
96	3824	54259
97	4196	54263
98	4601	54310
99	5036	54323
100	5415	54208
101	5897	54203
102	6212	54233
103	6519	54179
104	6783	54123
105	7153	54071
106	7490	54084
107	7752	54022
108	8048	54246
109	8292	54245
110	8465	54257
111	8709	54316
112	8825	54232
113	9028	54102
114	9146	54125
115	9127	54133
116	9153	54184
117	8998	54174
118	8935	54293
119	8802	54292
120	8644	54385
121	8317	54357
122	8065	54284
123	7777	54315
124	7429	54390
125	7054	54474
126	6699	54576
127	6451	54654
128	6086	54746
129	5771	54701
130	5395	54663
131	5031	54756
132	4679	54756
133	4396	54667
134	4031	54614
135	3744	54611
136	3422	54630
137	3101	54663
138	2801	54727
139	2473	54913
140	2210	54854
141	1972	54848
142	1673	54730
143	1414	54736
144	1225	54754
145	1039	54788
146	887	54654
147	705	54564
148	552	54564
149	437	54545
150	356	54391
151	279	54318
152	217	54357
153	161	54340
154	120	54341
155	84	54256
156	65	54113
157	49	53991
158	36	54066
159	25	54004
160	23	53918
161	19	53956
162	10	53973
163	9	54050
164	7	54208
165	5	54197
166	3	54240
167	4	54184
168	2	54210
169	1	54153
170	1	54075
171	1	54029
172	0	54059
173	0	54103
174	1	54066
175	1	54054
176	1	54090
177	0	53994
178	0	54034
179	0	54088
180	0	54060
181	0	54129
182	0	54167
183	0	54165
184	0	54177
185	0	54153
186	0	54146
187	0	54214
188	0	54204
189	0	54401
190	0	54442
191	0	54451
192	0	54513
193	0	54540
194	0	54523
195	0	54494
196	0	54578
197	0	54716
198	0	54736
199	0	54634
200	0	54566
201	0	54610
202	0	54510
203	0	54561
204	0	54503
205	0	54473
206	0	54529
207	0	54572
208	0	54571
209	0	54553
210	0	54454
211	0	54454
212	0	54405
213	0	54473
214	0	54479
215	0	54449
216	0	54388
217	0	54283
218	0	54220
219	0	54235
220	0	54180
221	0	54230
222	0	54220
223	0	54274
224	0	54339
225	0	54238
226	0	54224
227	0	54158
228	0	54173
229	0	54194
230	0	54186
231	0	54074
232	0	54110
233	0	54143
234	0	54103
235	0	54153
236	0	54151
237	0	54144
238	0	53995
239	0	54080
240	0	54186
241	0	54165
242	0	54196
243	0	54176
244	0	54222
245	0	54216
246	0	54219
247	0	54262
248	0	54147
249	0	54150
250	0	54205
251	0	54188
252	0	54094
253	0	54133
254	0	54126
255	0	54217
256	0	54155
257	0	54208
258	0	54217
259	0	54330
260	0	54286
261	0	54314
262	0	54439
263	0	54402
264	0	54455
265	0	54501
266	0	54434
267	0	54601
268	0	54643
269	0	54730
270	0	54873
271	0	54891
272	0	54822
273	0	54811
274	0	54738
275	0	54880
276	0	54877
277	0	54942
278	0	54871
279	0	54976
280	0	54937
281	0	54781
282	0	54796
283	0	54754
284	0	54735
285	0	54634
286	0	54482
287	0	54535
288	0	54567
289	0	54452
290	0	54430
291	0	54425
292	0	54431
293	0	54407
294	0	54344
295	0	54341
296	0	54371
297	0	54473
298	0	54492
299	0	54424
300	0	54358
301	0	54392
302	0	54519
303	0	54465
304	0	54397
305	0	54444
306	0	54388
307	0	54450
308	0	54439
309	0	54394
310	0	54330
311	0	54405
312	0	54417
313	0	54430
314	0	54502
315	0	54506
316	0	54499
317	0	54450
318	0	54416
319	0	54334
320	0	54316
321	0	54489
322	0	54425
